"_id","key","role","title","general__winPercent","general__playPercent","general__banRate","general__kills","general__deaths","general__assists","general__totalDamageDealtToChampions","general__totalDamageTaken","general__totalHeal","general__largestKillingSpree","general__minionsKilled","general__neutralMinionsKilledTeamJungle","general__neutralMinionsKilledEnemyJungle","general__goldEarned","general__overallPosition","general__overallPositionChange"
"54e06fec08ed067b90f23ef6","Urgot","Top","Urgot","46.95","0.22","0.24","6.29","6.78","6.97","20896","20683","976","2.74","173.1","3.98","1.64","11738","54","-2"
"54e06fec08ed067b90f23ef7","Zac","Top","Zac","48.93","0.38","0.05","5.11","4.93","9.65","20095","32181","26280","2.73","169.9","4.12","1.84","11600","46","1"
"54e06fec08ed067b90f23ef8","Yorick","Top","Yorick","48.6","0.94","0.09","5.08","6.1","8.05","22218","30948","13561","2.31","175.1","4.18","1.98","11703","42","1"
"54e06fec08ed067b90f23ef9","Galio","Top","Galio","53.88","0.24","0.14","4.66","5.62","11.88","21312","28858","8086","2.29","192","2.9","1.13","12234","23","13"
"54e06fec08ed067b90f23efa","Trundle","Top","Trundle","45.02","0.75","0.04","4.8","5.87","7.53","16997","36811","10357","2.26","180.5","4.99","2.5","11678","53","1"
"54e06fec08ed067b90f23efb","Poppy","Top","Poppy","50.74","0.76","0.13","8.36","6.41","5.29","22393","27459","1767","3.65","173.1","5.53","2.36","12518","39","-4"
"54e06fec08ed067b90f23efc","Quinn","Top","Quinn","48.86","0.6","0.02","8.11","7.15","5.76","23011","24259","1337","3.31","196.1","7.18","3.5","12929","45","-5"
"54e06fec08ed067b90f23efd","Aatrox","Top","Aatrox","50.47","1.03","0.2","6.2","5.75","7.47","19863","30296","13633","3.08","193.7","8.09","4.62","12491","31","6"
"54e06fec08ed067b90f23efe","Karthus","Top","Karthus","51.68","0.22","0.08","7.64","7.59","9.33","31191","24027","1772","2.93","214","8.89","1.82","13699","24","-7"
"54e06fec08ed067b90f23eff","Ryze","Top","Ryze","46.15","1.54","0.1","5.83","6.63","7.45","22404","26410","1027","2.64","173.6","5.08","1.63","11743","48","3"
"54e06fec08ed067b90f23f00","Mordekaiser","Top","Mordekaiser","49.73","0.83","0.15","6.19","6.99","6.52","24625","18923","3536","2.69","209.5","6.07","3.86","12639","40","2"
"54e06fec08ed067b90f23f01","Gragas","Top","Gragas","46.1","0.83","0.1","5.22","5.6","7.48","19649","30232","7216","2.51","170.3","4.36","1.78","11357","52","4"
"54e06fec08ed067b90f23f02","Singed","Top","Singed","52.35","1.37","0.06","4.51","6.38","9.07","23588","37319","3367","2.07","217.6","1.18","1.4","12430","17","16"
"54e06fec08ed067b90f23f03","Heimerdinger","Top","Heimerdinger","54.18","0.94","0.27","5.32","6.37","7.1","27767","18861","1047","2.31","199.8","3.18","1.86","12272","28","-2"
"54e06fec08ed067b90f23f04","Kayle","Top","Kayle","50.59","0.82","0.23","5.44","6.04","7.65","18981","24829","8044","2.52","201.3","7.33","2.88","12336","38","-7"
"54e06fec08ed067b90f23f05","Gangplank","Top","Gangplank","49.1","2.02","0.12","6.53","6.16","10.91","23599","29314","6999","3.01","200.9","5.08","2.19","13834","16","-11"
"54e06fec08ed067b90f23f06","Akali","Top","Akali","47.35","0.79","10.37","8.52","7.24","5.66","20047","27494","751","3.56","162.5","4.63","2.51","11973","49","1"
"54e06fec08ed067b90f23f07","Shen","Top","Shen","45.79","2.22","0.05","4.06","4.77","11.33","15041","30186","2907","2.09","166.9","2.37","1","11429","51","-6"
"54e06fec08ed067b90f23f08","Jayce","Top","Jayce","46.02","2.31","0.23","6.7","6.68","7.37","24091","22370","1228","2.99","191.8","6.33","2.54","12463","37","-5"
"54e06fec08ed067b90f23f09","Olaf","Top","Olaf","45.26","1.66","0.11","6.29","7.12","6.51","21267","30567","4370","2.68","181.3","5.69","3.09","12029","50","3"
"54e06fec08ed067b90f23f0a","DrMundo","Top","Dr. Mundo","45.21","1.59","0.05","4.52","5.41","8.6","20789","36904","9821","2.29","180.9","3.1","1.64","11630","41","0"
"54e06fec08ed067b90f23f0b","Teemo","Top","Teemo","52.44","2","0.33","6.76","6.88","6.66","30313","21780","1251","2.9","188.9","3.36","2.86","12562","20","8"
"54e06fec08ed067b90f23f0c","Azir","Top","Azir","38.96","0.62","29.6","4.39","7.34","7","20125","20435","1194","1.84","183.8","5.11","1.21","11391","56","-29"
"54e06fec08ed067b90f23f0d","Cassiopeia","Top","Cassiopeia","49.71","1.31","3.35","6.76","6.76","6.46","23569","23450","5330","2.96","188.4","6.76","2.31","12292","33","-10"
"54e06fec08ed067b90f23f0e","Tryndamere","Top","Tryndamere","52.31","3.99","0.64","6.83","6.58","5.07","20243","36792","7593","2.92","217","9.78","7.77","13429","9","3"
"54e06fec08ed067b90f23f0f","Shyvana","Top","Shyvana","44.21","1.15","0.03","4.76","5.17","7.48","19826","31466","2602","2.38","201.4","7.24","4.02","12214","44","2"
"54e06fec08ed067b90f23f10","Garen","Top","Garen","47.83","3.43","0.26","6.71","5.41","6.72","19466","33812","1783","3.35","177.8","3.12","2.03","11962","34","-9"
"54e06fec08ed067b90f23f11","Darius","Top","Darius","49.66","4.94","0.85","7.97","6.98","6.35","21478","29670","1967","3.38","184.8","4.8","2.74","12527","19","15"
"54e06fec08ed067b90f23f12","Maokai","Top","Maokai","49.63","4.11","0.45","4.42","5.71","10.23","19675","33447","8570","2.1","177.1","3.46","1.19","11522","32","6"
"54e06fec08ed067b90f23f13","Kennen","Top","Kennen","51.34","3.9","0.45","6.17","6.05","7.38","24315","21004","1136","2.87","181.9","2.23","1.16","11890","25","5"
"54e06fec08ed067b90f23f14","Volibear","Top","Volibear","48.38","1.4","0.09","6.58","5.73","7.98","18822","34680","2638","3.19","158.7","3.02","1.66","11618","43","1"
"54e06fec08ed067b90f23f15","Lulu","Top","Lulu","45.7","0.74","0.08","4.33","5.32","9.77","17074","21065","1390","2.18","180.6","2.73","0.96","11480","55","-6"
"54e06fec08ed067b90f23f16","Hecarim","Top","Hecarim","51.99","1.38","0.54","7.24","5.82","7.62","20732","32653","7777","3.52","188.7","5.71","2.96","12420","12","-5"
"54e06fec08ed067b90f23f17","XinZhao","Top","Xin Zhao","51.19","0.82","0.2","6.8","7.25","6.7","20192","29670","5772","2.82","162.7","6.37","3.07","11843","47","8"
"54e06fec08ed067b90f23f18","Vladimir","Top","Vladimir","50.15","6.35","0.52","6.21","6.86","7.05","26446","32269","12845","2.66","202.1","5","2.95","12438","11","-2"
"54e06fec08ed067b90f23f19","Rumble","Top","Rumble","50.43","4.48","0.4","6.5","6.25","8.64","24696","23734","1528","3.07","163.2","2.01","1.06","11605","27","-9"
"54e06fec08ed067b90f23f1a","Fiora","Top","Fiora","53.51","5.04","3.48","8.83","7.45","5.41","23704","28061","2011","3.64","187.2","8.29","4.38","12962","6","9"
"54e06fec08ed067b90f23f1b","Swain","Top","Swain","52.03","2.19","0.87","6.45","5.97","7.9","24809","31917","11962","3.08","163","4.57","1.56","11674","15","7"
"54e06fec08ed067b90f23f1c","Sion","Top","Sion","52.81","5.13","0.55","4.66","5.3","9.85","20205","32691","14653","2.28","192.7","2.7","1.4","12036","4","6"
"54e06fec08ed067b90f23f1d","Renekton","Top","Renekton","49.94","9.02","0.94","5.54","5.7","7.81","19597","35034","6530","2.66","207.4","4.71","3.36","12412","7","4"
"54e06fec08ed067b90f23f1e","Chogath","Top","Cho'Gath","50.48","4.32","0.45","6.27","5.08","7.18","20519","32934","8064","3.27","200.9","6.3","3.01","12532","8","6"
"54e06fec08ed067b90f23f1f","Yasuo","Top","Yasuo","45.97","1.85","14.07","7.34","8.28","6.51","21958","24351","996","2.89","212.5","10.07","5.61","13305","30","-9"
"54e06fec08ed067b90f23f20","Malphite","Top","Malphite","51.73","7.17","0.79","5.13","4.75","9.9","19247","22449","1814","2.72","165.3","2.52","1.01","11517","26","3"
"54e06fec08ed067b90f23f21","Fizz","Top","Fizz","48.48","3.62","20.56","8.45","6.39","5.68","20853","26300","1652","3.78","174.5","4.52","2.16","12268","29","19"
"54e06fec08ed067b90f23f22","Jax","Top","Jax","47.51","8.52","5.8","6.49","6.79","5.66","18716","28195","1512","2.83","186.6","7.11","3.23","12204","36","3"
"54e06fec08ed067b90f23f23","Gnar","Top","Gnar","47.06","10.37","24.15","5.44","6.11","8.45","21314","29113","1779","2.6","178.2","4.21","2.16","11802","18","-2"
"54e06fec08ed067b90f23f24","Nasus","Top","Nasus","52.54","10.97","4.46","5.35","5.42","6.8","19239","35000","1605","2.68","205.4","4.63","2.13","12387","3","3"
"54e06fec08ed067b90f23f25","Kassadin","Top","Kassadin","45.44","2.52","13.4","6.9","5.31","7.17","19856","25558","1908","3.5","173.1","2.67","0.89","11769","35","-11"
"54e06fec08ed067b90f23f26","MonkeyKing","Top","Wukong","52.78","4.5","1","7.43","6.2","7.44","21699","26015","1974","3.42","186.1","5.94","3.05","12570","5","8"
"54e06fec08ed067b90f23f27","Rengar","Top","Rengar","50.04","3.05","3.03","8.75","7","6.26","21922","27897","3944","3.75","179.2","11.43","5.38","12893","22","-3"
"54e06fec08ed067b90f23f28","Irelia","Top","Irelia","52.24","15.1","23.57","7.05","5.71","7.08","19838","31156","8187","3.49","194.7","3.12","1.8","12397","2","0"
"54e06fec08ed067b90f23f29","Lissandra","Top","Lissandra","50.03","8.28","26.48","5.37","6.32","8.65","21416","21910","1588","2.45","208.5","3.95","1.5","12390","10","-2"
"54e06fec08ed067b90f23f2a","Pantheon","Top","Pantheon","52.36","5.26","5.6","8.54","7","7.2","23023","24858","1532","3.66","163.6","4.68","2.3","12295","14","6"
"54e06fec08ed067b90f23f2b","Riven","Top","Riven","50.69","19.44","12.26","8.01","6.82","5.38","20413","23895","1669","3.5","200.8","8.63","5.65","12952","13","-9"
"54e06fec08ed067b90f23f2c","JarvanIV","Top","Jarvan IV","54.5","3.26","64.12","7.28","6.1","10.18","20581","26221","1942","3.4","186.1","6.48","3.18","12800","1","0"
"54e06fec08ed067b90f23f2d","Nidalee","Top","Nidalee","49.44","3.66","30.53","7.34","6.3","6.46","22877","26256","9615","3.42","172.3","5.81","3.18","12068","21","-18"
"54e06fec08ed067b90f23f2e","Zac","Jungle","Zac","40.28","0.56","0.05","4.29","5.32","10.61","14107","34964","26496","2.13","42.6","58.73","5.57","11015","41","-1"
"54e06fec08ed067b90f23f2f","Evelynn","Jungle","Evelynn","49.45","1.2","0.14","7.32","6.32","9.69","18045","28835","2208","3.35","47.5","56.64","7.34","12079","27","-9"
"54e06fec08ed067b90f23f30","Trundle","Jungle","Trundle","48.54","0.56","0.04","5.32","5.91","9.78","13867","37972","10337","2.47","48.6","58.08","6.87","11731","33","4"
"54e06fec08ed067b90f23f31","Poppy","Jungle","Poppy","51.25","0.52","0.13","7.49","6.31","6.87","17721","28468","2121","3.15","45.1","60.33","7.67","12151","29","0"
"54e06fec08ed067b90f23f32","Skarner","Jungle","Skarner","47.7","1.35","0.03","4.91","5.31","10.93","11734","30152","2414","2.48","43.9","61.48","6.66","11578","34","-3"
"54e06fec08ed067b90f23f33","Elise","Jungle","Elise","43.11","1.34","0.04","5.51","6.61","8.49","15365","27939","2496","2.37","40.2","55.33","6.69","11186","42","0"
"54e06fec08ed067b90f23f34","Aatrox","Jungle","Aatrox","45.42","0.48","0.2","5.41","5.98","8.63","14472","34209","16072","2.54","57.5","65.19","8.55","12013","35","0"
"54e06fec08ed067b90f23f35","Nunu","Jungle","Nunu","53.15","1.28","0.05","3.72","5.05","12.37","11465","36946","10482","1.84","39","50.74","10.02","11256","25","-2"
"54e06fec08ed067b90f23f36","Rammus","Jungle","Rammus","47.05","2.02","0.21","3.85","6.15","12.79","13351","34199","4703","1.65","41","50.97","4.12","11005","36","0"
"54e06fec08ed067b90f23f37","Gragas","Jungle","Gragas","45.32","0.54","0.1","5.3","5.89","10","16318","32651","7310","2.55","48.7","58.24","6.54","11614","38","-4"
"54e06fec08ed067b90f23f38","Nocturne","Jungle","Nocturne","48.19","2.25","0.03","6.67","6.14","8.89","15683","32213","4793","3.07","59.6","68.98","7.69","12599","22","6"
"54e06fec08ed067b90f23f39","Nautilus","Jungle","Nautilus","47.72","1.95","0.05","3.74","5.13","12.31","12520","26878","2360","1.84","40.3","54.33","5.14","10916","40","-1"
"54e06fec08ed067b90f23f3a","Shyvana","Jungle","Shyvana","47.64","1.4","0.03","5.97","5.57","8.82","17705","33872","2807","2.84","67.1","77.01","11.79","13167","15","4"
"54e06fec08ed067b90f23f3b","Kayle","Jungle","Kayle","51.09","0.47","0.23","5.77","5.78","9.14","16142","28510","8818","2.73","79.8","69.33","7.48","12787","24","-7"
"54e06fec08ed067b90f23f3c","Volibear","Jungle","Volibear","45.91","1.32","0.09","5.91","5.94","9.99","13903","36260","2947","2.87","41.7","49.52","5.18","11170","39","-1"
"54e06fec08ed067b90f23f3d","Olaf","Jungle","Olaf","46.98","1.52","0.11","6.1","6.09","8.58","16153","34044","3857","2.78","52.6","61.08","7.61","11837","30","-3"
"54e06fec08ed067b90f23f3e","Tryndamere","Jungle","Tryndamere","46.47","0.61","0.64","6.51","6.49","6.77","16533","39452","8107","2.74","82.9","67.69","11.11","13147","21","3"
"54e06fec08ed067b90f23f3f","Diana","Jungle","Diana","47.84","1.26","0.38","7.34","6.69","8.03","19418","23856","1541","3.24","66","69.17","8.19","12783","26","7"
"54e06fec08ed067b90f23f40","Udyr","Jungle","Udyr","50.81","5.04","0.44","5.6","5.57","7.63","12940","31153","2362","2.73","60.2","70.23","11.6","12573","14","1"
"54e06fec08ed067b90f23f41","Sejuani","Jungle","Sejuani","52.19","5.42","0.25","4.89","5.09","12.14","15871","34980","4010","2.47","49.3","62.32","6.75","11927","10","0"
"54e06fec08ed067b90f23f42","Khazix","Jungle","Kha'Zix","46.22","5.41","0.27","7.69","6.42","7.46","17225","31688","5979","3.43","49.8","63.07","9.05","12323","19","-7"
"54e06fec08ed067b90f23f43","Maokai","Jungle","Maokai","46.38","1.75","0.45","3.97","5.84","12.46","14033","36727","9113","1.82","47","51.54","4.85","11034","32","-6"
"54e06fec08ed067b90f23f44","Hecarim","Jungle","Hecarim","48.89","4.76","0.54","6.72","5.9","9.77","16457","36983","7955","3.2","54.8","62.21","7.16","12192","8","-5"
"54e06fec08ed067b90f23f45","Chogath","Jungle","Cho'Gath","47.6","0.97","0.45","5.71","5.13","9","15533","35189","7301","2.85","65.3","64.27","6.73","12189","23","2"
"54e06fec08ed067b90f23f46","XinZhao","Jungle","Xin Zhao","49.23","5.54","0.2","6.15","7.09","9.11","16161","33500","6876","2.6","45","56.36","7.1","11706","28","-6"
"54e06fec08ed067b90f23f47","Sion","Jungle","Sion","50.76","1.03","0.55","5.17","5.77","11.42","16833","35593","16171","2.27","64","52.23","5.27","11804","18","-2"
"54e06fec08ed067b90f23f48","Warwick","Jungle","Warwick","51.48","6.38","2.29","5.77","5.96","10.23","13599","39758","16210","2.62","40.7","65.68","7.29","12025","6","-2"
"54e06fec08ed067b90f23f49","MasterYi","Jungle","Master Yi","49.74","6.73","1.81","8.77","7.57","5.94","18905","30977","3792","3.54","80.5","72.22","9.37","13650","9","-3"
"54e06fec08ed067b90f23f4a","RekSai","Jungle","Rek'Sai","49.67","6.89","27.92","6.03","6.12","9.91","15180","34464","8568","2.84","48","61.59","10.21","12079","5","3"
"54e06fec08ed067b90f23f4b","Amumu","Jungle","Amumu","51.38","7.54","0.97","4.57","5.74","11.96","15624","31007","2972","2.14","45.2","63.78","6.31","11764","11","9"
"54e06fec08ed067b90f23f4c","Shaco","Jungle","Shaco","54.05","7.41","1.89","8.24","6.6","7.94","18822","26825","2176","3.51","65.3","51.26","10.82","12821","7","2"
"54e06fec08ed067b90f23f4d","FiddleSticks","Jungle","Fiddlesticks","55.75","7.15","4.68","5.94","6.29","10.13","17972","31180","15937","2.76","44.2","61.07","5.89","11739","3","-1"
"54e06fec08ed067b90f23f4e","Malphite","Jungle","Malphite","44.61","1.37","0.79","4.5","5.09","11.06","14623","25941","2449","2.22","50.5","56.16","4.73","11298","37","-5"
"54e06fec08ed067b90f23f4f","Fizz","Jungle","Fizz","47.87","2.2","20.56","8.15","6.55","6.93","17097","28662","2070","3.48","51.4","59.34","7.06","12225","16","25"
